Exp,MAE,RMSE,R2,Acc_rounded,Within1
Baseline-HGB,0.5755583554442748,0.9020973959150392,0.5691368284614929,0.6382488479262672,0.9001536098310292
PSO-HGB,0.5665884240643839,0.8897181010294642,0.5808809817817147,0.6397849462365591,0.9024577572964669
Weighted-HGB,0.9139693804046484,1.1577039779696394,0.29037719028644315,0.34715821812596004,0.8233486943164362
